"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Age specific fertility rates","2010","45 - 49 years","Ireland","%","1.1"
"Age specific fertility rates","2011","All ages","Border","%",""
"Age specific fertility rates","2011","All ages","Dublin","%",""
"Age specific fertility rates","2011","All ages","Mid-East","%",""
"Age specific fertility rates","2011","All ages","Midland","%",""
"Age specific fertility rates","2011","All ages","Mid-West","%",""
"Age specific fertility rates","2011","All ages","South-East","%",""
"Age specific fertility rates","2011","All ages","South-West","%",""
"Age specific fertility rates","2011","All ages","West","%",""
"Age specific fertility rates","2011","All ages","Ireland","%",""
"Age specific fertility rates","2011","15 - 19 years","Border","%",""
"Age specific fertility rates","2011","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2011","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2011","15 - 19 years","Midland","%",""
"Age specific fertility rates","2011","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2011","15 - 19 years","South-East","%",""
"Age specific fertility rates","2011","15 - 19 years","South-West","%",""
"Age specific fertility rates","2011","15 - 19 years","West","%",""
"Age specific fertility rates","2011","15 - 19 years","Ireland","%","12.3"
"Age specific fertility rates","2011","20 - 24 years","Border","%",""
"Age specific fertility rates","2011","20 - 24 years","Dublin","%",""
"Age specific fertility rates","2011","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","2011","20 - 24 years","Midland","%",""
"Age specific fertility rates","2011","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","2011","20 - 24 years","South-East","%",""
"Age specific fertility rates","2011","20 - 24 years","South-West","%",""
"Age specific fertility rates","2011","20 - 24 years","West","%",""
"Age specific fertility rates","2011","20 - 24 years","Ireland","%","48.8"
"Age specific fertility rates","2011","25 - 29 years","Border","%",""
"Age specific fertility rates","2011","25 - 29 years","Dublin","%",""
"Age specific fertility rates","2011","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","2011","25 - 29 years","Midland","%",""
"Age specific fertility rates","2011","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","2011","25 - 29 years","South-East","%",""
"Age specific fertility rates","2011","25 - 29 years","South-West","%",""
"Age specific fertility rates","2011","25 - 29 years","West","%",""
"Age specific fertility rates","2011","25 - 29 years","Ireland","%","88.9"
"Age specific fertility rates","2011","30 - 34 years","Border","%",""
"Age specific fertility rates","2011","30 - 34 years","Dublin","%",""
"Age specific fertility rates","2011","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","2011","30 - 34 years","Midland","%",""
"Age specific fertility rates","2011","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","2011","30 - 34 years","South-East","%",""
"Age specific fertility rates","2011","30 - 34 years","South-West","%",""
"Age specific fertility rates","2011","30 - 34 years","West","%",""
"Age specific fertility rates","2011","30 - 34 years","Ireland","%","134.8"
"Age specific fertility rates","2011","35 - 39 years","Border","%",""
"Age specific fertility rates","2011","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2011","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2011","35 - 39 years","Midland","%",""
"Age specific fertility rates","2011","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2011","35 - 39 years","South-East","%",""
"Age specific fertility rates","2011","35 - 39 years","South-West","%",""
"Age specific fertility rates","2011","35 - 39 years","West","%",""
"Age specific fertility rates","2011","35 - 39 years","Ireland","%","97.9"
"Age specific fertility rates","2011","40 - 44 years","Border","%",""
"Age specific fertility rates","2011","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2011","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2011","40 - 44 years","Midland","%",""
"Age specific fertility rates","2011","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2011","40 - 44 years","South-East","%",""
"Age specific fertility rates","2011","40 - 44 years","South-West","%",""
"Age specific fertility rates","2011","40 - 44 years","West","%",""
"Age specific fertility rates","2011","40 - 44 years","Ireland","%","22.4"
"Age specific fertility rates","2011","45 - 49 years","Border","%",""
"Age specific fertility rates","2011","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2011","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2011","45 - 49 years","Midland","%",""
"Age specific fertility rates","2011","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2011","45 - 49 years","South-East","%",""
"Age specific fertility rates","2011","45 - 49 years","South-West","%",""
"Age specific fertility rates","2011","45 - 49 years","West","%",""
"Age specific fertility rates","2011","45 - 49 years","Ireland","%","1.1"
"Age specific fertility rates","2012","All ages","Border","%",""
"Age specific fertility rates","2012","All ages","Dublin","%",""
"Age specific fertility rates","2012","All ages","Mid-East","%",""
"Age specific fertility rates","2012","All ages","Midland","%",""
"Age specific fertility rates","2012","All ages","Mid-West","%",""
"Age specific fertility rates","2012","All ages","South-East","%",""
"Age specific fertility rates","2012","All ages","South-West","%",""
"Age specific fertility rates","2012","All ages","West","%",""
"Age specific fertility rates","2012","All ages","Ireland","%",""
"Age specific fertility rates","2012","15 - 19 years","Border","%",""
"Age specific fertility rates","2012","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2012","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2012","15 - 19 years","Midland","%",""
"Age specific fertility rates","2012","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2012","15 - 19 years","South-East","%",""
"Age specific fertility rates","2012","15 - 19 years","South-West","%",""
"Age specific fertility rates","2012","15 - 19 years","West","%",""
"Age specific fertility rates","2012","15 - 19 years","Ireland","%","11.8"
"Age specific fertility rates","2012","20 - 24 years","Border","%",""
"Age specific fertility rates","2012","20 - 24 years","Dublin","%",""
"Age specific fertility rates","2012","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","2012","20 - 24 years","Midland","%",""
"Age specific fertility rates","2012","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","2012","20 - 24 years","South-East","%",""
"Age specific fertility rates","2012","20 - 24 years","South-West","%",""
"Age specific fertility rates","2012","20 - 24 years","West","%",""
"Age specific fertility rates","2012","20 - 24 years","Ireland","%","48"
"Age specific fertility rates","2012","25 - 29 years","Border","%",""
"Age specific fertility rates","2012","25 - 29 years","Dublin","%",""
"Age specific fertility rates","2012","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","2012","25 - 29 years","Midland","%",""
"Age specific fertility rates","2012","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","2012","25 - 29 years","South-East","%",""
"Age specific fertility rates","2012","25 - 29 years","South-West","%",""
"Age specific fertility rates","2012","25 - 29 years","West","%",""
"Age specific fertility rates","2012","25 - 29 years","Ireland","%","86"
"Age specific fertility rates","2012","30 - 34 years","Border","%",""
"Age specific fertility rates","2012","30 - 34 years","Dublin","%",""
"Age specific fertility rates","2012","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","2012","30 - 34 years","Midland","%",""
"Age specific fertility rates","2012","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","2012","30 - 34 years","South-East","%",""
"Age specific fertility rates","2012","30 - 34 years","South-West","%",""
"Age specific fertility rates","2012","30 - 34 years","West","%",""
"Age specific fertility rates","2012","30 - 34 years","Ireland","%","129.7"
"Age specific fertility rates","2012","35 - 39 years","Border","%",""
"Age specific fertility rates","2012","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2012","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2012","35 - 39 years","Midland","%",""
"Age specific fertility rates","2012","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2012","35 - 39 years","South-East","%",""
"Age specific fertility rates","2012","35 - 39 years","South-West","%",""
"Age specific fertility rates","2012","35 - 39 years","West","%",""
"Age specific fertility rates","2012","35 - 39 years","Ireland","%","97.4"
"Age specific fertility rates","2012","40 - 44 years","Border","%",""
"Age specific fertility rates","2012","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2012","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2012","40 - 44 years","Midland","%",""
"Age specific fertility rates","2012","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2012","40 - 44 years","South-East","%",""
"Age specific fertility rates","2012","40 - 44 years","South-West","%",""
"Age specific fertility rates","2012","40 - 44 years","West","%",""
"Age specific fertility rates","2012","40 - 44 years","Ireland","%","22.8"
"Age specific fertility rates","2012","45 - 49 years","Border","%",""
"Age specific fertility rates","2012","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2012","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2012","45 - 49 years","Midland","%",""
"Age specific fertility rates","2012","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2012","45 - 49 years","South-East","%",""
"Age specific fertility rates","2012","45 - 49 years","South-West","%",""
"Age specific fertility rates","2012","45 - 49 years","West","%",""
"Age specific fertility rates","2012","45 - 49 years","Ireland","%","1.4"
"Age specific fertility rates","2013","All ages","Border","%",""
"Age specific fertility rates","2013","All ages","Dublin","%",""
"Age specific fertility rates","2013","All ages","Mid-East","%",""
"Age specific fertility rates","2013","All ages","Midland","%",""
"Age specific fertility rates","2013","All ages","Mid-West","%",""
"Age specific fertility rates","2013","All ages","South-East","%",""
"Age specific fertility rates","2013","All ages","South-West","%",""
"Age specific fertility rates","2013","All ages","West","%",""
"Age specific fertility rates","2013","All ages","Ireland","%",""
"Age specific fertility rates","2013","15 - 19 years","Border","%",""
"Age specific fertility rates","2013","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2013","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2013","15 - 19 years","Midland","%",""
"Age specific fertility rates","2013","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2013","15 - 19 years","South-East","%",""
"Age specific fertility rates","2013","15 - 19 years","South-West","%",""
"Age specific fertility rates","2013","15 - 19 years","West","%",""
"Age specific fertility rates","2013","15 - 19 years","Ireland","%","10"
